temperature,delta_temp,gas_ppm,heart_rate,accel_magnitude,jerk,risk_score,risk_level
26.54,-0.19,4.25,80.8,0.88,-0.96,0.0,Low Risk
24.99,-0.72,2.42,119.8,0.92,0.98,0.0,Low Risk
37.26,-0.11,11.5,100.4,1.5,0.24,6.31,Low Risk
27.93,0.35,3.2,68.9,0.95,-0.32,3.3,Low Risk
22.71,-0.35,1.0,68.9,1.19,0.11,0.0,Low Risk
32.11,-0.61,0.01,97.2,1.18,1.71,1.01,Low Risk
21.9,0.13,11.25,61.8,0.7,0.5,0.0,Low Risk
29.04,0.53,5.4,99.6,0.54,1.67,0.0,Low Risk
18.2,-0.75,16.75,86.0,1.21,-0.49,0.08,Low Risk
21.36,0.51,5.64,89.3,0.73,1.37,2.2,Low Risk
28.98,0.51,7.99,75.4,0.58,-0.27,2.95,Low Risk
31.69,0.58,6.27,68.7,1.26,1.48,2.72,Low Risk
28.86,0.71,12.62,106.3,0.75,1.42,1.31,Low Risk
27.42,1.2,5.28,75.6,0.81,-0.3,1.13,Low Risk
26.49,-0.08,39.81,72.6,1.49,0.84,18.92,Low Risk
20.61,0.15,33.01,78.6,0.59,0.67,11.38,Low Risk
24.4,-0.11,22.61,83.5,0.69,1.25,2.0,Low Risk
25.7,0.1,30.35,61.4,0.89,-0.41,10.37,Low Risk
33.29,0.87,7.16,69.8,0.94,0.17,1.79,Low Risk
29.72,-0.57,9.23,68.9,0.78,0.54,0.0,Low Risk
19.18,-0.33,16.26,95.2,0.71,1.7,0.0,Low Risk
29.62,0.79,14.29,64.1,1.38,0.55,0.0,Low Risk
26.07,0.61,26.56,48.4,1.07,-0.28,24.54,Low Risk
24.62,-0.08,15.12,44.6,4.31,55.82,64.02,Medium Risk
31.06,0.53,73.9,53.5,0.97,-0.31,43.51,Medium Risk
33.15,0.27,5.14,104.5,1.07,-0.85,4.07,Low Risk
32.66,0.85,21.48,80.3,1.23,0.37,0.19,Low Risk
23.8,0.14,14.35,89.0,0.75,0.72,0.0,Low Risk
26.45,0.61,14.11,89.7,1.07,0.65,2.55,Low Risk
29.66,1.42,4.73,81.0,1.17,0.54,0.74,Low Risk
32.88,0.4,18.48,78.7,6.15,41.32,49.58,Medium Risk
25.6,0.12,27.68,98.8,1.49,1.74,3.87,Low Risk
27.07,0.46,2.96,82.6,1.02,-0.16,2.35,Low Risk
22.47,-0.08,11.79,105.2,1.28,1.25,0.0,Low Risk
22.02,1.29,5.97,91.2,0.33,2.31,1.58,Low Risk
32.06,0.19,54.73,68.9,4.03,36.79,74.72,Medium Risk
34.78,-0.04,7.82,71.1,0.82,1.31,1.63,Low Risk
27.64,-0.32,3.11,66.9,0.94,0.39,0.0,Low Risk
33.02,0.65,5.77,101.9,1.11,-0.54,1.26,Low Risk
29.81,0.53,12.73,72.7,0.96,-0.27,1.17,Low Risk
24.77,-0.15,0.95,65.6,1.05,0.92,0.0,Low Risk
29.81,0.39,11.1,85.8,1.4,0.74,0.0,Low Risk
35.69,-0.65,32.12,78.3,0.9,0.55,14.88,Low Risk
27.82,0.19,22.79,85.3,0.73,1.23,0.02,Low Risk
35.82,0.33,0.84,114.0,1.45,1.44,7.05,Low Risk
15.0,0.95,60.23,96.4,1.13,1.43,39.95,Low Risk
32.11,-0.29,14.4,80.5,1.48,1.09,0.0,Low Risk
28.44,-0.54,2.12,54.6,1.22,0.91,0.0,Low Risk
26.5,-0.35,0.15,71.0,0.67,0.08,0.0,Low Risk
28.46,-0.57,2.25,92.8,1.16,0.57,0.0,Low Risk
18.06,0.77,21.85,58.9,0.75,0.79,0.0,Low Risk
26.9,0.87,0.26,118.5,1.0,0.46,0.97,Low Risk
29.79,0.26,3.19,80.3,0.98,-0.77,5.25,Low Risk
35.39,0.71,16.99,80.9,0.6,0.76,6.82,Low Risk
25.41,0.17,10.59,68.0,0.8,0.45,1.95,Low Risk
23.96,0.05,18.32,88.9,1.55,0.39,0.92,Low Risk
25.49,-0.07,16.45,59.2,1.06,0.96,0.0,Low Risk
32.58,-0.06,0.62,119.0,0.96,0.94,0.25,Low Risk
29.64,-0.67,26.76,103.7,1.45,1.45,3.87,Low Risk
25.35,0.23,3.09,97.7,0.9,0.97,0.0,Low Risk
30.57,0.08,9.67,55.0,0.98,0.19,0.0,Low Risk
28.49,0.47,12.4,83.7,5.65,44.19,42.38,Medium Risk
32.84,0.15,2.22,101.8,0.9,1.7,0.27,Low Risk
24.49,0.02,44.87,90.7,0.81,0.48,31.79,Low Risk
26.36,-0.34,8.04,62.0,0.44,1.5,3.25,Low Risk
26.04,0.14,0.71,68.3,0.77,0.63,0.32,Low Risk
20.68,0.47,33.23,71.9,0.76,1.42,14.64,Low Risk
29.48,-0.47,10.59,69.1,1.04,1.56,1.34,Low Risk
29.31,0.14,14.42,107.5,0.85,-0.01,0.0,Low Risk
28.03,0.22,8.94,45.4,1.54,1.62,17.53,Low Risk
26.83,-0.26,21.6,91.8,0.74,0.54,0.0,Low Risk
20.92,-0.19,0.4,56.7,1.35,0.81,0.0,Low Risk
25.9,0.22,3.75,62.7,1.05,1.39,0.0,Low Risk
26.29,-0.47,7.61,43.8,1.2,0.29,19.77,Low Risk
23.99,0.27,0.96,70.1,1.19,1.29,0.0,Low Risk
27.19,-0.35,14.69,107.2,0.45,0.63,0.0,Low Risk
30.02,0.63,6.0,84.8,1.0,0.14,0.0,Low Risk
37.43,1.27,3.82,58.4,0.93,1.01,9.04,Low Risk
28.87,-0.33,0.04,98.3,0.72,1.5,0.0,Low Risk
29.29,0.37,15.27,102.2,1.11,0.58,0.42,Low Risk
27.63,-0.26,21.54,81.9,5.7,53.48,45.09,Medium Risk
18.41,0.62,6.03,116.6,0.33,0.24,0.69,Low Risk
27.87,-0.53,9.97,94.8,0.87,-0.07,0.0,Low Risk
28.3,0.34,3.1,92.3,0.69,2.32,0.0,Low Risk
40.32,-0.34,11.68,65.5,1.02,-0.2,7.57,Low Risk
27.04,-0.0,0.15,91.3,0.92,-1.32,0.0,Low Risk
29.51,-0.42,8.05,83.9,0.85,0.19,3.87,Low Risk
27.83,0.51,12.4,89.4,1.17,0.65,0.0,Low Risk
22.16,-0.32,30.04,67.7,1.41,0.53,5.03,Low Risk
33.71,0.38,5.76,82.3,1.67,0.64,0.0,Low Risk
31.76,-0.07,17.39,65.3,0.82,-0.52,0.17,Low Risk
31.96,0.04,10.93,41.4,0.54,0.55,21.3,Low Risk
23.45,0.17,31.41,98.0,1.14,-0.29,6.02,Low Risk
35.01,-0.28,6.1,53.0,5.38,52.49,49.58,Medium Risk
20.99,0.21,4.61,81.9,1.2,-0.41,0.0,Low Risk
30.93,0.87,26.18,86.0,1.4,0.43,0.0,Low Risk
38.95,-0.29,0.61,85.9,0.94,-0.14,0.73,Low Risk
23.05,0.69,1.76,74.9,0.85,1.26,1.84,Low Risk
25.17,0.85,1.03,84.9,1.03,0.12,2.93,Low Risk
28.5,-0.31,22.23,88.5,0.92,-0.34,0.0,Low Risk
25.48,-0.63,0.13,93.2,1.17,1.34,2.04,Low Risk
20.25,0.25,23.74,111.2,5.83,36.01,46.6,Medium Risk
28.34,-0.17,7.2,84.2,1.26,1.05,0.0,Low Risk
22.69,1.03,0.05,81.2,1.13,0.77,0.0,Low Risk
30.37,0.12,6.16,63.7,1.06,2.52,0.66,Low Risk
23.4,-0.3,2.48,87.8,1.2,1.02,0.0,Low Risk
35.75,-0.47,11.75,92.0,0.51,0.9,6.25,Low Risk
24.08,0.64,13.65,76.5,1.05,-0.18,0.0,Low Risk
26.39,-0.19,8.02,89.8,1.01,0.32,0.0,Low Risk
32.07,0.12,0.5,74.7,1.05,0.71,0.67,Low Risk
21.85,0.58,12.81,92.1,0.98,1.64,4.61,Low Risk
29.14,-0.14,22.14,96.4,1.11,-0.12,2.92,Low Risk
34.54,0.08,15.29,96.2,0.86,-0.97,3.79,Low Risk
19.96,0.09,21.26,82.1,1.28,0.56,0.59,Low Risk
28.92,0.44,2.69,61.3,1.12,-0.77,0.0,Low Risk
29.3,0.4,26.37,69.0,1.04,1.15,1.33,Low Risk
31.91,-0.01,4.67,90.7,0.83,1.71,3.22,Low Risk
21.82,0.13,0.16,124.1,1.2,1.32,0.57,Low Risk
21.4,-0.09,22.25,73.9,1.05,0.1,1.05,Low Risk
30.61,-0.64,34.13,88.2,0.81,1.8,13.6,Low Risk
29.48,0.23,12.79,70.0,0.99,-0.11,0.0,Low Risk
29.25,1.05,3.16,62.5,1.16,-0.29,0.0,Low Risk
29.73,-0.34,3.48,67.8,1.14,1.64,0.0,Low Risk
24.6,-0.29,7.54,42.5,1.12,0.22,20.63,Low Risk
29.16,-0.34,27.37,104.4,1.02,0.63,4.52,Low Risk
29.47,0.46,1.94,40.0,1.26,1.31,17.6,Low Risk
24.43,0.32,20.98,75.3,1.31,-0.38,0.0,Low Risk
37.33,0.02,4.13,58.8,6.35,22.48,51.9,Medium Risk
30.37,-0.36,19.84,64.1,0.85,0.03,0.0,Low Risk
22.04,0.15,30.35,104.8,0.74,0.31,3.38,Low Risk
31.28,-0.68,6.69,83.6,4.85,56.79,42.37,Medium Risk
23.13,0.17,5.45,62.6,1.49,0.8,0.0,Low Risk
31.94,0.54,19.45,69.4,1.07,0.79,1.13,Low Risk
33.79,-0.53,9.05,66.2,1.53,0.5,1.31,Low Risk
23.9,-0.67,13.84,79.2,0.97,0.68,0.91,Low Risk
32.82,0.89,11.7,83.1,0.94,-0.02,1.41,Low Risk
30.06,-0.21,1.99,114.1,0.98,0.52,1.39,Low Risk
32.11,0.67,22.36,45.5,0.98,-0.85,23.46,Low Risk
37.48,0.02,2.61,79.4,0.81,1.29,6.47,Low Risk
26.77,0.02,32.31,74.3,0.71,0.05,9.27,Low Risk
24.23,0.32,3.46,97.0,1.13,0.09,0.0,Low Risk
23.55,-0.34,15.89,86.4,1.26,-0.25,3.02,Low Risk
23.92,0.17,4.02,90.6,1.61,0.61,0.0,Low Risk
27.61,-0.09,4.59,86.2,0.89,0.07,0.47,Low Risk
29.71,-0.56,4.45,63.2,0.91,1.0,1.29,Low Risk
29.38,0.27,16.53,101.8,0.81,-0.34,2.86,Low Risk
32.14,-0.03,9.77,94.4,7.19,32.39,42.23,Medium Risk
28.07,0.02,25.74,96.5,1.2,0.84,2.92,Low Risk
35.27,-0.51,4.41,102.8,0.78,1.14,1.0,Low Risk
26.68,0.9,14.13,87.5,0.77,1.03,0.0,Low Risk
41.6,0.54,16.78,106.7,1.24,-0.23,11.25,Low Risk
31.13,0.58,1.97,86.8,1.1,0.55,0.0,Low Risk
23.71,-0.05,6.14,76.1,1.19,0.42,3.04,Low Risk
22.65,-0.76,7.91,79.9,0.78,-0.34,0.09,Low Risk
30.41,1.08,5.27,79.6,0.53,0.48,0.0,Low Risk
26.88,0.07,4.67,70.7,0.78,-0.62,0.38,Low Risk
31.57,-0.27,13.92,109.4,1.17,0.69,2.28,Low Risk
30.37,0.31,2.92,85.3,1.53,1.46,0.0,Low Risk
27.64,0.68,14.83,81.7,0.89,1.3,0.0,Low Risk
23.77,0.09,32.81,87.0,1.57,0.81,11.12,Low Risk
20.43,0.74,9.99,133.6,1.21,0.71,3.08,Low Risk
25.77,0.64,11.34,59.6,0.65,0.41,0.0,Low Risk
32.28,-0.44,0.86,64.8,1.05,2.23,3.7,Low Risk
29.07,-0.24,23.98,55.1,1.22,0.33,1.69,Low Risk
21.77,0.58,4.03,75.8,0.39,-0.55,0.0,Low Risk
28.87,-1.26,11.46,84.4,1.16,1.11,0.0,Low Risk
29.93,0.03,46.42,71.6,1.29,0.87,30.99,Low Risk
23.58,-0.62,10.86,70.3,1.1,-0.38,0.84,Low Risk
28.77,-0.14,15.48,82.6,0.98,0.18,2.21,Low Risk
28.29,-0.05,7.07,71.0,0.96,0.64,3.02,Low Risk
22.29,-0.08,0.75,85.6,0.94,0.05,0.8,Low Risk
29.79,-0.18,19.17,100.1,0.71,1.23,1.22,Low Risk
30.8,-0.45,0.43,92.2,0.83,-0.12,0.0,Low Risk
33.42,1.25,14.47,95.9,0.9,0.3,0.76,Low Risk
33.27,1.03,0.28,99.5,1.03,0.16,0.8,Low Risk
21.11,-0.48,23.79,85.1,0.86,0.86,0.0,Low Risk
23.31,0.89,2.06,77.1,0.78,1.01,1.52,Low Risk
30.58,-0.1,8.67,66.1,1.19,0.86,0.25,Low Risk
30.57,0.16,10.91,73.0,1.09,-0.98,3.67,Low Risk
30.58,0.07,7.34,70.6,5.26,33.99,46.31,Medium Risk
47.26,-0.23,5.0,93.2,1.13,0.88,22.66,Low Risk
30.85,0.59,7.57,86.2,0.89,0.97,3.12,Low Risk
33.68,0.16,4.48,92.5,1.02,0.36,1.07,Low Risk
32.77,-0.14,6.92,59.1,7.86,34.7,42.52,Medium Risk
31.26,-0.55,5.34,105.8,0.85,0.05,1.88,Low Risk
26.42,-0.35,10.02,72.3,0.71,1.52,0.83,Low Risk
31.79,-0.72,3.26,60.2,0.96,-0.57,0.0,Low Risk
24.14,0.11,53.75,72.1,0.66,0.86,35.17,Low Risk
26.82,-0.5,8.34,124.7,0.93,-0.3,0.0,Low Risk
25.57,-0.03,2.59,73.0,0.93,0.12,0.0,Low Risk
28.41,0.79,7.78,74.1,0.38,0.47,0.42,Low Risk
39.57,0.7,24.16,76.5,1.13,-1.09,8.83,Low Risk
18.66,0.08,0.26,77.3,0.95,-0.61,0.0,Low Risk
31.43,0.06,13.66,65.9,1.3,-0.78,2.22,Low Risk
19.94,1.04,9.53,82.6,1.05,0.84,0.0,Low Risk
25.64,0.36,2.23,99.4,4.75,45.07,45.13,Medium Risk
33.44,-0.06,20.41,85.7,1.3,-0.78,0.68,Low Risk
28.32,-0.61,5.52,60.0,0.97,0.36,0.93,Low Risk
22.61,0.3,4.17,73.8,1.0,0.72,3.68,Low Risk
24.42,0.51,21.13,70.1,0.61,0.72,1.58,Low Risk
31.4,-0.22,12.21,81.0,1.31,2.11,0.0,Low Risk
24.35,0.25,27.42,103.9,0.96,0.62,0.0,Low Risk
29.08,-0.08,11.93,77.3,0.75,-0.24,0.0,Low Risk
28.23,0.01,16.2,78.4,1.18,1.1,0.0,Low Risk
24.74,-1.14,21.73,112.0,0.46,1.77,0.83,Low Risk
38.72,-0.01,0.68,95.8,0.89,-0.54,0.43,Low Risk
31.17,0.58,17.96,90.3,1.23,0.93,0.0,Low Risk
17.87,-0.22,11.41,115.2,0.89,0.52,0.0,Low Risk
28.93,0.13,0.86,88.8,0.82,-0.26,0.0,Low Risk
24.69,-0.28,8.53,44.2,0.9,-0.01,19.35,Low Risk
32.26,0.28,1.03,95.0,0.5,1.77,0.0,Low Risk
24.04,-0.01,15.98,51.3,1.18,1.12,0.0,Low Risk
27.43,-0.37,9.49,88.1,0.97,0.84,0.89,Low Risk
30.52,0.77,36.84,49.2,0.93,-0.69,34.5,Low Risk
32.33,0.56,2.43,71.6,0.93,1.04,2.32,Low Risk
22.0,-0.2,11.18,73.5,1.0,1.39,2.22,Low Risk
26.33,0.35,2.85,66.1,1.16,-0.59,0.0,Low Risk
25.63,0.37,11.43,73.7,0.99,0.52,3.46,Low Risk
24.73,0.42,15.39,98.6,0.66,1.31,2.2,Low Risk
36.83,-0.75,15.37,67.1,5.83,53.52,52.57,Medium Risk
30.02,0.6,20.25,89.8,1.12,1.01,0.0,Low Risk
21.7,-0.18,23.05,62.6,1.05,0.54,0.0,Low Risk
32.59,-0.08,0.97,76.6,1.27,1.37,0.89,Low Risk
38.61,1.42,5.05,85.8,1.01,0.63,8.88,Low Risk
33.16,0.25,13.94,62.1,1.28,0.94,3.52,Low Risk
20.4,-0.09,8.28,56.4,1.35,0.77,0.0,Low Risk
25.58,-1.0,2.54,88.9,1.15,-0.35,1.98,Low Risk
34.33,0.79,9.65,100.2,0.81,-0.24,5.76,Low Risk
24.46,-0.57,6.28,78.6,0.97,-0.66,0.85,Low Risk
30.22,-0.4,5.93,71.8,1.31,0.19,0.0,Low Risk
31.87,-0.07,19.91,82.8,0.63,1.15,0.0,Low Risk
23.37,0.81,6.28,81.0,0.9,0.77,0.0,Low Risk
27.7,0.49,0.32,84.4,0.91,0.47,0.0,Low Risk
15.0,0.02,0.72,40.0,0.78,1.59,17.67,Low Risk
22.88,0.25,23.28,60.8,1.22,0.26,0.44,Low Risk
26.74,-0.2,38.81,64.8,1.09,0.95,17.67,Low Risk
21.76,0.17,13.99,82.7,0.82,0.23,0.0,Low Risk
36.16,0.14,5.44,83.3,1.15,-0.7,7.58,Low Risk
20.85,0.58,33.48,91.5,0.96,-0.1,11.87,Low Risk
25.8,0.58,13.05,84.6,0.78,-0.12,0.0,Low Risk
28.65,0.35,22.32,56.6,0.82,-0.64,0.0,Low Risk
35.21,-0.08,17.42,106.0,1.11,0.38,8.01,Low Risk
20.82,0.47,5.72,102.9,1.23,-0.09,2.59,Low Risk
33.82,0.05,7.82,57.4,0.88,1.7,0.0,Low Risk
28.05,-0.44,2.47,86.0,5.57,59.76,44.03,Medium Risk
23.09,-0.1,4.14,69.3,1.4,-0.17,0.03,Low Risk
30.31,0.14,18.07,82.5,0.69,-0.37,4.12,Low Risk
29.0,0.56,26.93,99.0,1.09,-0.4,2.33,Low Risk
25.0,0.01,15.47,118.3,1.21,1.2,0.0,Low Risk
28.35,-0.5,7.51,93.5,0.98,1.27,0.0,Low Risk
26.07,0.13,1.09,85.3,1.31,-1.1,0.0,Low Risk
28.57,0.16,0.7,73.9,1.55,2.23,0.43,Low Risk
31.31,0.19,5.63,83.3,1.09,0.56,0.73,Low Risk
35.93,0.56,7.48,104.5,0.94,1.32,5.51,Low Risk
21.81,0.61,11.27,79.2,1.24,-0.14,3.69,Low Risk
38.67,-0.2,0.08,64.0,1.21,-0.29,0.74,Low Risk
18.24,-0.21,54.93,50.8,0.37,0.3,38.8,Low Risk
27.24,-0.42,5.43,89.2,1.0,0.8,0.15,Low Risk
30.94,0.45,22.61,84.5,0.9,0.68,0.0,Low Risk
29.4,0.82,9.19,68.4,1.1,1.44,0.93,Low Risk
24.89,-0.06,1.68,98.5,0.95,-0.91,0.0,Low Risk
26.96,-0.02,19.17,72.4,0.98,1.23,0.0,Low Risk
25.53,0.83,14.85,77.6,0.78,0.91,0.0,Low Risk
25.05,0.35,8.99,79.7,1.18,0.75,0.0,Low Risk
32.25,0.32,8.67,73.7,1.41,-0.58,0.0,Low Risk
29.79,-0.5,1.1,84.2,0.79,-0.14,0.0,Low Risk
24.54,0.44,12.8,100.7,0.65,1.01,0.67,Low Risk
32.5,-0.36,29.06,59.4,1.01,-1.46,3.09,Low Risk
29.54,-0.47,1.17,88.8,0.99,-1.02,0.0,Low Risk
32.06,-0.07,3.67,83.1,1.29,0.87,0.0,Low Risk
31.15,-0.19,27.91,82.8,0.69,0.95,8.18,Low Risk
23.86,-0.01,4.01,95.7,0.87,-0.1,0.0,Low Risk
25.2,-0.62,12.73,80.9,0.46,-0.1,0.0,Low Risk
31.74,0.58,9.18,88.6,1.34,1.26,1.71,Low Risk
31.05,0.66,10.89,92.9,1.06,1.21,0.0,Low Risk
27.9,-0.87,6.45,70.9,0.88,0.23,1.49,Low Risk
28.59,0.59,4.28,85.4,0.67,-0.48,2.01,Low Risk
34.39,-0.31,0.6,75.5,0.69,1.68,1.88,Low Risk
25.04,0.53,16.36,77.6,1.1,-0.53,0.0,Low Risk
30.74,0.07,16.45,74.2,0.72,1.04,0.0,Low Risk
26.99,0.11,13.33,88.5,1.03,1.46,1.76,Low Risk
26.91,0.01,12.38,81.5,1.51,0.49,3.24,Low Risk
33.49,0.71,3.35,87.1,0.91,0.03,5.56,Low Risk
32.13,-0.52,0.27,79.7,5.74,25.95,44.77,Medium Risk
32.07,0.4,19.85,51.1,1.1,0.55,3.17,Low Risk
34.53,0.65,8.11,80.6,0.69,-0.67,4.54,Low Risk
28.11,0.46,4.4,81.1,5.95,35.09,44.28,Medium Risk
31.41,1.26,1.29,84.4,1.35,-1.12,0.0,Low Risk
26.45,-0.16,0.78,69.3,0.96,-0.84,0.95,Low Risk
29.62,0.58,5.15,58.5,0.78,0.61,3.2,Low Risk
27.35,0.05,19.6,91.2,0.89,1.17,2.45,Low Risk
28.48,0.72,30.12,75.1,0.93,0.27,5.58,Low Risk
30.98,0.1,27.25,83.1,1.1,1.34,3.84,Low Risk
23.91,-0.09,30.31,74.9,1.26,0.05,5.72,Low Risk
38.46,0.75,28.6,79.9,0.74,2.24,10.37,Low Risk
22.97,-0.15,8.99,71.9,1.25,-0.56,0.93,Low Risk
21.93,-0.61,2.97,62.6,1.15,-0.07,0.63,Low Risk
33.79,-0.16,19.2,88.5,0.87,1.58,4.67,Low Risk
31.96,0.41,2.89,69.1,0.73,0.29,0.0,Low Risk
31.12,0.8,3.73,83.0,1.03,1.26,2.67,Low Risk
31.14,0.16,3.19,87.4,0.74,-0.56,0.0,Low Risk
27.94,0.76,8.68,69.4,1.26,-0.26,0.0,Low Risk
23.51,-0.58,4.66,58.3,0.72,0.98,2.01,Low Risk
28.38,-0.12,2.01,123.7,1.14,-0.65,0.92,Low Risk
24.61,-0.04,7.24,70.5,0.98,-0.47,1.94,Low Risk
32.88,0.04,24.85,91.2,0.86,0.41,1.62,Low Risk
27.26,0.14,10.14,114.9,0.97,1.55,0.0,Low Risk
23.87,0.45,25.28,94.2,1.27,0.79,0.0,Low Risk
26.39,-0.12,2.62,74.6,0.7,0.33,0.23,Low Risk
30.06,0.17,2.19,78.8,0.9,0.63,0.0,Low Risk
25.18,0.08,10.28,65.0,0.81,-0.89,3.6,Low Risk
23.89,-0.36,7.47,95.9,0.99,0.04,0.0,Low Risk
29.22,0.04,12.95,90.2,0.83,0.85,1.74,Low Risk
29.22,0.03,19.0,70.7,0.56,0.69,1.17,Low Risk
25.47,0.02,16.7,61.2,0.74,0.99,0.0,Low Risk
25.64,0.12,34.22,56.2,1.41,1.06,12.87,Low Risk
29.16,0.14,6.1,97.8,1.06,0.68,0.22,Low Risk
20.76,-0.12,2.77,82.2,7.94,16.37,47.63,Medium Risk
20.96,0.74,9.61,83.9,0.93,0.77,0.0,Low Risk
24.41,-0.48,1.41,65.2,0.99,0.11,1.55,Low Risk
26.93,-0.26,4.09,53.7,7.0,37.85,45.79,Medium Risk
29.55,1.49,2.8,97.3,1.13,0.2,2.63,Low Risk
35.38,-0.42,6.06,80.8,1.03,0.73,3.8,Low Risk
32.29,-0.58,1.41,96.3,0.71,-0.68,1.98,Low Risk
27.2,0.47,0.39,73.1,1.06,-0.87,0.0,Low Risk
27.9,-0.94,12.83,75.7,0.39,-0.49,4.12,Low Risk
22.99,-0.02,11.31,92.8,1.1,1.24,0.0,Low Risk
27.91,1.17,14.79,93.2,0.65,0.15,0.0,Low Risk
26.56,-0.67,12.96,94.4,0.98,0.9,0.0,Low Risk
29.61,-0.89,1.46,74.7,0.7,0.88,1.94,Low Risk
23.86,-0.65,4.13,91.1,1.0,0.82,0.0,Low Risk
30.6,0.55,1.66,100.0,1.14,0.92,2.02,Low Risk
35.66,0.66,22.22,78.1,1.38,0.08,8.66,Low Risk
27.46,-0.16,16.49,70.8,0.61,1.04,1.94,Low Risk
30.01,0.44,2.7,104.2,1.24,0.81,1.87,Low Risk
31.45,0.8,5.01,68.2,1.03,-0.77,0.0,Low Risk
25.99,0.99,40.8,91.3,0.89,0.55,20.58,Low Risk
29.12,-0.02,10.82,78.9,1.19,0.38,0.0,Low Risk
28.06,-1.05,19.38,46.9,4.87,16.69,57.73,Medium Risk
28.49,-0.31,3.69,100.3,1.18,0.52,3.85,Low Risk
24.13,-0.11,2.83,40.0,0.75,0.31,19.5,Low Risk
28.12,-0.03,18.39,44.3,0.84,1.75,23.51,Low Risk
30.49,0.01,13.9,89.5,1.24,0.99,0.0,Low Risk
35.26,0.66,13.71,89.5,1.37,0.53,3.98,Low Risk
32.8,0.74,9.65,68.5,0.99,-0.39,0.0,Low Risk
38.77,0.01,9.95,82.7,0.3,0.6,2.87,Low Risk
24.16,0.65,15.97,40.0,0.95,-0.18,20.72,Low Risk
32.36,0.28,3.78,92.7,1.01,-0.82,0.0,Low Risk
28.92,0.13,5.22,84.5,0.94,0.17,0.0,Low Risk
38.95,0.55,24.63,79.2,1.08,0.22,7.45,Low Risk
23.96,0.14,4.43,80.4,0.88,1.32,1.93,Low Risk
23.8,1.13,9.48,88.9,1.21,1.28,0.0,Low Risk
25.0,-0.62,14.55,79.5,0.71,1.04,0.0,Low Risk
17.38,-0.16,113.95,46.3,1.31,0.43,69.76,Medium Risk
25.37,0.04,6.86,119.5,1.39,0.44,0.0,Low Risk
24.2,0.32,6.71,101.6,0.77,0.94,0.81,Low Risk
28.75,0.73,22.19,56.9,0.77,1.01,0.0,Low Risk
29.71,0.09,19.65,73.8,1.1,0.79,1.95,Low Risk
37.38,-0.61,15.76,75.8,0.7,0.91,7.58,Low Risk
32.75,0.52,7.47,99.4,0.88,0.45,2.91,Low Risk
25.12,0.48,4.7,41.1,1.28,0.27,18.96,Low Risk
23.51,-0.87,11.26,71.0,1.18,-1.28,0.0,Low Risk
30.46,0.1,25.07,48.3,1.5,0.23,20.0,Low Risk
21.4,-0.7,25.83,74.9,1.04,-0.08,0.0,Low Risk
37.16,-0.23,1.38,71.5,0.85,0.58,7.59,Low Risk
33.9,-0.35,6.71,81.4,1.01,-0.04,5.04,Low Risk
25.65,0.5,7.5,69.1,0.96,0.61,0.0,Low Risk
19.43,0.16,45.59,66.5,0.97,-0.99,30.82,Low Risk
34.77,-0.54,13.6,91.2,0.99,-0.27,4.31,Low Risk
27.43,0.54,6.28,88.2,0.77,-0.07,0.36,Low Risk
34.19,-0.62,0.32,89.9,6.15,18.04,49.1,Medium Risk
